tinh_id,district_num,id_district,Province,Region,goodroadv,agrext,tapwater,lnarea,lnpopden,city,treatment,year
1,25,105d25,Ha Noi,Red River Delta,1,0,0,0.7561220526695251,6.223953723907471,0,0,2006
1,25,105d25,Ha Noi,Red River Delta,1,0,1,2.1871743202209473,5.806445598602295,0,0,2006
1,25,105d25,Ha Noi,Red River Delta,1,0,0,2.126086473464966,5.32399320602417,0,0,2006
1,25,105d25,Ha Noi,Red River Delta,1,0,0,2.292534828186035,5.219536781311035,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,1.2612978219985962,5.752617359161377,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,1.8050047159194946,5.391681671142578,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,1.3164082765579224,5.759400844573975,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,1.773765206336975,5.656348705291748,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,2.018895149230957,5.527551174163818,0,0,2006
1,27,105d27,Ha Noi,Red River Delta,1,0,0,2.215937376022339,5.398868083953857,0,0,2006
27,1,106d1,Bac Ninh,Red River Delta,1,1,1,2.073171854019165,6.1271162033081055,0,0,2006
27,3,106d3,Bac Ninh,Red River Delta,1,0,0,1.8322614431381226,5.6798095703125,0,0,2006
27,3,106d3,Bac Ninh,Red River Delta,1,0,0,2.1029138565063477,5.804369926452637,0,0,2006
27,3,106d3,Bac Ninh,Red River Delta,1,0,0,1.8453001976013184,5.637381553649902,0,0,2006
27,3,106d3,Bac Ninh,Red River Delta,1,0,0,2.0502700805664062,5.617355823516846,0,0,2006
27,3,106d3,Bac Ninh,Red River Delta,1,0,0,2.1838016510009766,5.459681510925293,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,0,0,0,1.6900957822799683,5.338991641998291,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,1.8467210531234741,5.612041473388672,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,2.0399208068847656,5.097357749938965,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,2.2565412521362305,5.517053127288818,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,2.147800922393799,5.500462055206299,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,2.23964524269104,5.41195011138916,0,0,2006
27,5,106d5,Bac Ninh,Red River Delta,1,0,0,1.6174061298370361,5.334366321563721,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,1.6926754713058472,5.655911922454834,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,1.9403231143951416,5.865966320037842,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,1.9881483316421509,5.854130268096924,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,2.0130345821380615,5.519588947296143,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,1.3228219747543335,6.05743408203125,0,0,2006
27,7,106d7,Bac Ninh,Red River Delta,1,0,0,1.494700312614441,5.750954627990723,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,0,0,1.604425311088562,6.4589524269104,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,0,0,1.9657127857208252,6.292709827423096,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,0,0,1.7766457796096802,6.518902778625488,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,0,0,1.7184717655181885,6.272782325744629,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,1,0,1.7334238290786743,6.155285835266113,0,0,2006
27,8,106d8,Bac Ninh,Red River Delta,1,0,0,1.2470322847366333,6.363820552825928,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,1,0,2.1517622470855713,5.471879482269287,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,0,0,2.1606757640838623,5.592947959899902,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,1,0,2.2638442516326904,5.66492223739624,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,1,0,2.1126346588134766,5.518311977386475,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,0,0,2.269028425216675,5.269998550415039,0,0,2006
27,9,106d9,Bac Ninh,Red River Delta,1,0,1,1.686398983001709,5.813577651977539,0,0,2006
27,11,106d11,Bac Ninh,Red River Delta,1,0,0,2.203869104385376,5.460008144378662,0,0,2006
27,11,106d11,Bac Ninh,Red River Delta,1,0,0,2.399711847305298,5.353911876678467,0,0,2006
27,11,106d11,Bac Ninh,Red River Delta,1,0,0,2.389404773712158,5.5164055824279785,0,0,2006
27,11,106d11,Bac Ninh,Red River Delta,1,0,0,2.3107516765594482,5.702922344207764,0,0,2006
27,11,106d11,Bac Ninh,Red River Delta,1,0,0,1.6714733839035034,5.8595428466796875,0,0,2006
27,12,106d12,Bac Ninh,Red River Delta,1,0,0,2.1016921997070312,5.693130970001221,0,0,2006
27,12,106d12,Bac Ninh,Red River Delta,1,0,0,1.8245493173599243,5.778850078582764,0,0,2006
27,12,106d12,Bac Ninh,Red River Delta,1,0,0,1.964872121810913,5.479376792907715,0,0,2006
27,12,106d12,Bac Ninh,Red River Delta,1,0,0,1.8562979698181152,5.656319618225098,0,0,2006
27,12,106d12,Bac Ninh,Red River Delta,0,0,0,1.9558604955673218,5.544116020202637,0,0,2006
30,3,107d3,Hai Duong,Red River Delta,0,0,0,2.6390573978424072,4.4934401512146,0,0,2006
30,3,107d3,Hai Duong,Red River Delta,1,0,0,2.7536606788635254,4.583276271820068,0,0,2006
30,3,107d3,Hai Duong,Red River Delta,1,0,0,2.3223876953125,4.996814727783203,0,0,2006
30,3,107d3,Hai Duong,Red River Delta,1,0,0,2.116255521774292,5.152664661407471,0,0,2006
30,3,107d3,Hai Duong,Red River Delta,1,0,0,2.0554049015045166,5.1715312004089355,0,0,2006
30,5,107d5,Hai Duong,Red River Delta,1,0,0,1.4060969352722168,5.913105487823486,0,0,2006
30,5,107d5,Hai Duong,Red River Delta,1,0,0,0.8671005368232727,5.68825626373291,0,0,2006
30,5,107d5,Hai Duong,Red River Delta,1,0,0,2.1667652130126953,5.647634506225586,0,0,2006
30,5,107d5,Hai Duong,Red River Delta,1,0,0,4.383275985717773,3.1369588375091553,0,0,2006
30,5,107d5,Hai Duong,Red River Delta,1,0,0,1.8050047159194946,5.729757785797119,0,0,2006
30,7,107d7,Hai Duong,Red River Delta,1,0,0,1.945910096168518,5.860786437988281,0,0,2006
30,7,107d7,Hai Duong,Red River Delta,1,0,0,2.1041340827941895,5.416642189025879,0,0,2006
